Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",0201,2,15pF,
"C10, C9",0201,2,33nF,
"C11, C14",0201,2,100nF,
C12,0402,1,10µF,
"C16, C5",0402,2,1.2pF,
C3,0402,1,2.2nF,
C4,0402,1,5.6pF, C2224707
"C7, C8",0201,2,10nF,
J1,GCT_USB4155-03-C_REVA,1,USB4155-03-C_REVA,
"L1, L2",0402,2,6.8nH,
L3,0402,1,4.7nH,
L4,0402,1,3.9nH,
"R1, R3",0201,2,5.1kΩ,
"R10, R9",0201,2,22Ω,
R2,0201,1,22kΩ,
"R5, R7",0201,2,10kΩ,
R8,0201,1,10Ω,
U1,QFN50P500X500X95-33N-D,1,NRF24LU1P-F32Q32-T,C545245
U3,SOT95P280X145-6N,1,USBLC6-2SC6,C7519
X1,EA2025MA1016000MTR,1,EA2025MA10-16.000M_TR,C5725838
